genesymbol,cell_type,organ,organism
POMC,Immature neurons,Brain,human
RAX,Retinal progenitor cells,Eye,human
RAX,Immature neurons,Brain,human
RAX,Tanycytes,Brain,human
NKX2-1,Pulmonary alveolar type II cells,Lungs,human
FSHB,Anterior pituitary gland cells,Brain,human
GNRHR,Anterior pituitary gland cells,Brain,human
TSHB,Anterior pituitary gland cells,Brain,human
PAX7,Satellite cells,Skeletal muscle,human
PAX7,Plasma cells,Immune system,human
PAX7,Myoblasts,Skeletal muscle,human
PAX7,Anterior pituitary gland cells,Brain,human
LHB,Anterior pituitary gland cells,Brain,human
S100B,Enteric glia cells,GI tract,human
S100B,Schwann cells,Brain,human
S100B,Ependymal cells,Brain,human
S100B,Bergmann glia,Brain,human
S100B,Gamma delta T cells,Immune system,human
S100B,Astrocytes,Brain,human
S100B,Dendritic cells,Immune system,human
SLC1A2,Glutaminergic neurons,Brain,human
SLC1A2,Astrocytes,Brain,human
SLC1A2,Bergmann glia,Brain,human
GFAP,Neural stem/precursor cells,Brain,human
GFAP,Astrocytes,Brain,human
GFAP,Satellite glial cells,Brain,human
GFAP,Enteric glia cells,GI tract,human
GFAP,Ependymal cells,Brain,human
GFAP,Schwann cells,Brain,human
GFAP,Bergmann glia,Brain,human
GFAP,Radial glia cells,Brain,human
BYSL,Astrocytes,Brain,human
ALDH1L1,Astrocytes,Brain,human
ALDH1L1,Bergmann glia,Brain,human
CD40,Astrocytes,Brain,human
CD40,Fibroblasts,Connective tissue,human
CD40,Monocytes,Immune system,human
CD40,Platelets,Blood,human
CD40,Loop of Henle cells,Kidney,human
CD40,Plasma cells,Immune system,human
CD40,B cells,Immune system,human
CD40,Beta cells,Pancreas,human
CD40,Microglia,Brain,human
SLC1A3,Müller cells,Eye,human
SLC1A3,Neural stem/precursor cells,Brain,human
SLC1A3,Astrocytes,Brain,human
SLC1A3,Bergmann glia,Brain,human
SLC1A3,Radial glia cells,Brain,human
SLC1A3,Satellite glial cells,Brain,human
FGFR3,Astrocytes,Brain,human
GJB6,Bergmann glia,Brain,human
GJB6,Astrocytes,Brain,human
AQP4,Ependymal cells,Brain,human
AQP4,Cholangiocytes,Liver,human
AQP4,Principal cells,Kidney,human
AQP4,Satellite glial cells,Brain,human
AQP4,Müller cells,Eye,human
AQP4,Astrocytes,Brain,human
AQP4,Bergmann glia,Brain,human
HTRA1,Astrocytes,Brain,human
S100A8,Astrocytes,Brain,human
S100A8,Monocytes,Immune system,human
S100A8,Microglia,Brain,human
S100A8,Megakaryocytes,Immune system,human
S100A8,Plasmacytoid dendritic cells,Immune system,human
S100A8,Dendritic cells,Immune system,human
S100A8,Macrophages,Immune system,human
S100A8,Neutrophils,Immune system,human
S100A8,Chondrocytes,Connective tissue,human
CLDN10,Astrocytes,Brain,human
CLDN10,Loop of Henle cells,Kidney,human
CLDN10,Ductal cells,Pancreas,human
ITIH3,Bergmann glia,Brain,human
ITIH3,Astrocytes,Brain,human
NKAIN4,Astrocytes,Brain,human
NKAIN4,Loop of Henle cells,Kidney,human
ACSBG1,Astrocytes,Brain,human
ACSBG1,Bergmann glia,Brain,human
TRIL,Astrocytes,Brain,human
GPR37L1,Oligodendrocyte progenitor cells,Brain,human
GPR37L1,Astrocytes,Brain,human
GPR37L1,Bergmann glia,Brain,human
GPR37L1,Schwann cells,Brain,human
SLC4A4,Bergmann glia,Brain,human
SLC4A4,Mast cells,Immune system,human
SLC4A4,Astrocytes,Brain,human
SLC4A4,Proximal tubule cells,Kidney,human
NTSR2,Astrocytes,Brain,human
SLC6A11,Astrocytes,Brain,human
HSPA2,Ependymal cells,Brain,human
HSPA2,Astrocytes,Brain,human
SLC16A2,Tanycytes,Brain,human
SLC16A2,Astrocytes,Brain,human
SYNE1,Astrocytes,Brain,human
DIO2,Tanycytes,Brain,human
DIO2,Astrocytes,Brain,human
SLC7A10,Astrocytes,Brain,human
ENTPD2,Astrocytes,Brain,human
ENTPD2,Keratinocytes,Skin,human
ENTPD2,Fibroblasts,Connective tissue,human
ENTPD2,Gamma (PP) cells,Pancreas,human
HSPB6,Smooth muscle cells,Smooth muscle,human
HSPB6,Astrocytes,Brain,human
PLXNB1,Astrocytes,Brain,human
LCAT,Astrocytes,Brain,human
PLA2G7,Astrocytes,Brain,human
PLA2G7,Loop of Henle cells,Kidney,human
CMTM5,Astrocytes,Brain,human
CMTM5,Schwann cells,Brain,human
S1PR1,Astrocytes,Brain,human
S1PR1,Natural killer T cells,Immune system,human
SLC39A12,Astrocytes,Brain,human
LUZP2,Neurons,Brain,human
LUZP2,Astrocytes,Brain,human
GSTA4,Astrocytes,Brain,human
SLC25A28,Astrocytes,Brain,human
SLC25A46,Astrocytes,Brain,human
WNT3,Astrocytes,Brain,human
WNT3,Paneth cells,GI tract,human
FZD2,Astrocytes,Brain,human
TEAD1,Astrocytes,Brain,human
RLBP1,Müller cells,Eye,human
RLBP1,Astrocytes,Brain,human
ALDOC,Oligodendrocyte progenitor cells,Brain,human
ALDOC,Schwann cells,Brain,human
ALDOC,Neural stem/precursor cells,Brain,human
ALDOC,Astrocytes,Brain,human
GJA1,Astrocytes,Brain,human
GJA1,Glomus cells,,human
GJA1,Leydig cells,Reproductive,human
GJA1,Bergmann glia,Brain,human
APOE,Astrocytes,Brain,human
APOE,Proximal tubule cells,Kidney,human
APOE,Neural stem/precursor cells,Brain,human
APOE,Müller cells,Eye,human
LCN2,Chondrocytes,Connective tissue,human
LCN2,Keratinocytes,Skin,human
LCN2,Leydig cells,Reproductive,human
LCN2,Neutrophils,Immune system,human
LCN2,Cholangiocytes,Liver,human
LCN2,Luminal epithelial cells,Mammary gland,human
LCN2,Astrocytes,Brain,human
LCN2,Podocytes,Kidney,human
SOX9,Tuft cells,GI tract,human
SOX9,Neural stem/precursor cells,Brain,human
SOX9,Melanocytes,Skin,human
SOX9,Sertoli cells,Reproductive,human
SOX9,Retinal progenitor cells,Eye,human
SOX9,Pancreatic progenitor cells,Pancreas,human
SOX9,Astrocytes,Brain,human
SOX9,Cholangiocytes,Liver,human
VIM,Pericytes,Vasculature,human
VIM,Astrocytes,Brain,human
VIM,Fibroblasts,Connective tissue,human
VIM,Bergmann glia,Brain,human
VIM,Glomus cells,,human
CCR7,Dendritic cells,Immune system,human
CCR7,Macrophages,Immune system,human
CCR7,T memory cells,Immune system,human
CCR7,B cells,Immune system,human
CCR7,Mesangial cells,Kidney,human
CCR7,T cells,Immune system,human
CCR7,Astrocytes,Brain,human
CCR7,Plasmacytoid dendritic cells,Immune system,human
AANAT,Astrocytes,Brain,human
AANAT,Pinealocytes,Brain,human
FABP7,Astrocytes,Brain,human
FABP7,Bergmann glia,Brain,human
SOCS3,Astrocytes,Brain,human
SOCS3,Osteoblasts,Bone,human
SYNM,Astrocytes,Brain,human
HMG20A,Astrocytes,Brain,human
NFATC3,Astrocytes,Brain,human
SRR,Astrocytes,Brain,human
SLC1A6,Astrocytes,Brain,human
SLC1A6,Purkinje neurons,Brain,human
SLC1A6,Glutaminergic neurons,Brain,human
ETS1,Endothelial cells,Vasculature,human
ETS1,Astrocytes,Brain,human
ETS1,Erythroblasts,Blood,human
SLIT1,Astrocytes,Brain,human
SNPH,Astrocytes,Brain,human
IL23A,Astrocytes,Brain,human
CD2,NK cells,Immune system,human
CD2,Thymocytes,Thymus,human
CD2,T cells,Immune system,human
CD5,Thymocytes,Thymus,human
CD5,B cells,Immune system,human
MS4A1,B cells naive,Immune system,human
MS4A1,B cells,Immune system,human
MS4A1,B cells memory,Immune system,human
MS4A1,Plasma cells,Immune system,human
CR2,B cells memory,Immune system,human
CR2,B cells,Immune system,human
CR2,B cells naive,Immune system,human
CR2,Dendritic cells,Immune system,human
CD22,B cells memory,Immune system,human
CD22,B cells naive,Immune system,human
CD22,Dendritic cells,Immune system,human
CD22,B cells,Immune system,human
FCER2,Mast cells,Immune system,human
FCER2,Eosinophils,Immune system,human
FCER2,B cells,Immune system,human
FCER2,B cells naive,Immune system,human
CD69,B cells naive,Immune system,human
CD69,B cells memory,Immune system,human
CD69,NK cells,Immune system,human
CD69,Basophils,Immune system,human
CD69,T cells,Immune system,human
CD69,Eosinophils,Immune system,human
CD69,Platelets,Blood,human
CD69,Thymocytes,Thymus,human
CD79A,Plasma cells,Immune system,human
CD79A,B cells naive,Immune system,human
CD79A,B cells,Immune system,human
CD79A,B cells memory,Immune system,human
CD79B,B cells naive,Immune system,human
CD79B,B cells memory,Immune system,human
CD79B,B cells,Immune system,human
CD80,Langerhans cells,Skin,human
CD80,Podocytes,Kidney,human
CD80,Plasmacytoid dendritic cells,Immune system,human
CD80,Macrophages,Immune system,human
CD80,B cells memory,Immune system,human
CD80,B cells,Immune system,human
CD86,Plasmacytoid dendritic cells,Immune system,human
CD86,B cells,Immune system,human
CD86,B cells memory,Immune system,human
CD86,Dendritic cells,Immune system,human
CD86,Red pulp macrophages,Immune system,human
CD86,Macrophages,Immune system,human
CD86,Monocytes,Immune system,human
SDC1,Plasma cells,Immune system,human
TNFRSF13B,Plasma cells,Immune system,human
TNFRSF13B,B cells memory,Immune system,human
TNFRSF13C,B cells naive,Immune system,human
TNFRSF13C,B cells,Immune system,human
IGHD,B cells naive,Immune system,human
IGHD,Plasma cells,Immune system,human
IGHD,B cells memory,Immune system,human
IGHD,B cells,Immune system,human
IGHM,B cells memory,Immune system,human
IGHM,Plasma cells,Immune system,human
IGHM,B cells,Immune system,human
IGHM,B cells naive,Immune system,human
RASGRP3,Endothelial cells,Vasculature,human
RASGRP3,Plasma cells,Immune system,human
HLA-DRA,Dendritic cells,Immune system,human
HLA-DRA,B cells,Immune system,human
LTB,B cells naive,Immune system,human
LTB,B cells memory,Immune system,human
LTB,T cells,Immune system,human
FLI1,Fibroblasts,Connective tissue,human
FLI1,Endothelial cells,Vasculature,human
FLI1,Megakaryocytes,Immune system,human
CD14,Macrophages,Immune system,human
CD14,Neutrophils,Immune system,human
CD14,Monocytes,Immune system,human
CD14,Kupffer cells,Liver,human
CD14,Dendritic cells,Immune system,human
SEMA6D,NK cells,Immune system,human
IFIT3,Monocytes,Immune system,human
IFIT3,Neurons,Brain,human
IGLL1,Plasmacytoid dendritic cells,Immune system,human
MME,B cells,Immune system,human
MME,Neutrophils,Immune system,human
SPN,Pluripotent stem cells,,human
SPN,Platelets,Blood,human
SPN,B cells,Immune system,human
SPN,Hematopoietic stem cells,Bone,human
SPN,Monocytes,Immune system,human
CD19,Macrophages,Immune system,human
CD19,B cells,Immune system,human
CD19,B cells naive,Immune system,human
CD19,Plasma cells,Immune system,human
CD19,B cells memory,Immune system,human
CD24,Epithelial cells,Epithelium,human
CD24,Plasma cells,Immune system,human
CD24,B cells,Immune system,human
CD24,Embryonic stem cells,Zygote,human
CD24,Tuft cells,GI tract,mouse
CD24,Keratinocytes,Skin,human
CD24,Cholangiocytes,Liver,human
CD24,Neutrophils,Immune system,human
CD27,Plasma cells,Immune system,human
CD27,B cells memory,Immune system,human
CD27,Thymocytes,Thymus,human
CD27,B cells,Immune system,human
CD27,NK cells,Immune system,human
CD72,B cells memory,Immune system,human
CD72,B cells naive,Immune system,human
CD72,B cells,Immune system,human
IRF4,Plasma cells,Immune system,human
PAX5,B cells memory,Immune system,human
PAX5,B cells,Immune system,human
JCHAIN,Plasma cells,Immune system,human
JCHAIN,Plasmacytoid dendritic cells,Immune system,human
MZB1,Plasmacytoid dendritic cells,Immune system,human
MZB1,Plasma cells,Immune system,human
LY6D,B cells,Immune system,human
FCMR,B cells,Immune system,human
BANK1,B cells memory,Immune system,human
BANK1,B cells naive,Immune system,human
BANK1,B cells,Immune system,human
VPREB3,B cells,Immune system,human
VPREB3,B cells naive,Immune system,human
VPREB3,B cells memory,Immune system,human
Q3U1X7,B cells,Immune system,mouse
A0A068BD53,B cells,Immune system,mouse
A0JNW8,B cells,Immune system,mouse
E9Q479,B cells,Immune system,mouse
Q496U2,B cells,Immune system,mouse
A0A068BGW6,B cells,Immune system,mouse
O35424,B cells,Immune system,mouse
Q496U1,B cells,Immune system,mouse
A0A494BB12,B cells,Immune system,mouse
Q3T9T7,B cells,Immune system,mouse
POU2AF1,B cells,Immune system,human
DERL3,Plasmacytoid dendritic cells,Immune system,human
RALGPS2,B cells memory,Immune system,human
RALGPS2,B cells naive,Immune system,human
CMAHP,Plasmacytoid dendritic cells,Immune system,mouse
TNFRSF17,Plasma cells,Immune system,human
TNFRSF17,B cells memory,Immune system,human
BLNK,Plasmacytoid dendritic cells,Immune system,human
BTLA,Dendritic cells,Immune system,human
SCD,Hepatocytes,Liver,human
SCD,Pulmonary alveolar type II cells,Lungs,mouse
SPIB,B cells naive,Immune system,human
SPIB,Plasmacytoid dendritic cells,Immune system,human
SPIB,B cells memory,Immune system,human
SPIB,Microfold cells,GI tract,human
EAF2,Plasma cells,Immune system,human
EAF2,B cells naive,Immune system,human
CXCR4,T helper cells,Immune system,human
CXCR4,Dendritic cells,Immune system,human
CXCR4,Plasmacytoid dendritic cells,Immune system,human
CXCR4,Natural killer T cells,Immune system,human
CXCR4,Cardiomyocytes,Heart,human
CXCR4,NK cells,Immune system,human
CXCR4,Plasma cells,Immune system,human
CXCR4,T cells,Immune system,human
CXCR4,Platelets,Blood,human
CXCR4,Megakaryocytes,Immune system,human
CXCR4,Thymocytes,Thymus,human
CXCR4,B cells,Immune system,human
CXCR4,Satellite cells,Skeletal muscle,human
CXCR4,Mast cells,Immune system,human
CXCR4,Hematopoietic stem cells,Bone,human
CXCR4,Monocytes,Immune system,human
BIRC3,B cells naive,Immune system,human
IGLC2,B cells,Immune system,human
IGLC2,Plasma cells,Immune system,human
IGLC3,B cells,Immune system,human
IGLC3,Plasma cells,Immune system,human
IL21R,Megakaryocytes,Immune system,human
IGKC,Plasma cells,Immune system,human
IGKC,B cells naive,Immune system,human
IGKC,B cells memory,Immune system,human
VPREB1,B cells,Immune system,human
P13373,B cells,Immune system,mouse
IRAG2,B cells,Immune system,human
IRAG2,Tuft cells,GI tract,human
KLHL6,B cells,Immune system,human
SLAMF6,NK cells,Immune system,human
NIBAN3,B cells,Immune system,human
NIBAN3,Plasmacytoid dendritic cells,Immune system,human
BST1,B cells,Immune system,human
BST1,Neutrophils,Immune system,human
BACH2,B cells memory,Immune system,human
BACH2,B cells,Immune system,human
BACH2,B cells naive,Immune system,human
P20693,B cells,Immune system,mouse
PXK,Gamma (PP) cells,Pancreas,human
PXK,B cells,Immune system,human
IGHG1,Plasma cells,Immune system,human
IGHG3,Plasma cells,Immune system,human
IGHG4,Plasma cells,Immune system,human
IGHA1,Plasma cells,Immune system,human
CD38,Thymocytes,Thymus,human
CD38,B cells,Immune system,human
CD38,B cells memory,Immune system,human
CD38,Kupffer cells,Liver,human
CD38,Plasma cells,Immune system,human
PTPRC,Tuft cells,GI tract,human
PTPRC,B cells,Immune system,human
PTPRC,Hematopoietic stem cells,Bone,human
PTPRC,Langerhans cells,Skin,human
PTPRC,T memory cells,Immune system,human
PTPRC,Monocytes,Immune system,human
PTPRC,B cells memory,Immune system,human
PTPRC,Dendritic cells,Immune system,human
EBF1,B cells,Immune system,human
BCL11A,Plasmacytoid dendritic cells,Immune system,human
BCL11A,B cells,Immune system,human
BCL11A,Epiblast cells,Embryo,human
CD55,Erythroid-like and erythroid precursor cells,Blood,human
CD55,Mast cells,Immune system,human
CD55,Fibroblasts,Connective tissue,human
CD55,Sertoli cells,Reproductive,human
CD55,Endothelial cells,Vasculature,human
CD55,B cells,Immune system,human
CD74,Luminal epithelial cells,Mammary gland,human
CD74,Plasma cells,Immune system,human
CD74,B cells,Immune system,human
CD74,Macrophages,Immune system,human
CD74,B cells naive,Immune system,human
CD52,B cells naive,Immune system,human
CD52,B cells,Immune system,human
CD52,T cells,Immune system,human
TLR9,Megakaryocytes,Immune system,human
TLR9,Paneth cells,GI tract,human
TLR9,Langerhans cells,Skin,human
TLR9,Dendritic cells,Immune system,human
TLR9,Kupffer cells,Liver,human
TLR9,B cells,Immune system,human
TLR9,Plasmacytoid dendritic cells,Immune system,human
SWAP70,B cells,Immune system,human
HMGA1,B cells,Immune system,human
HMGA1,Luminal epithelial cells,Mammary gland,human
CD84,B cells memory,Immune system,human
CD84,Platelets,Blood,human
NT5E,B cells memory,Immune system,human
NT5E,Pericytes,Vasculature,human
NT5E,Fibroblasts,Connective tissue,human
ADAM28,B cells memory,Immune system,human
ADAM28,B cells naive,Immune system,human
AIM2,Neurons,Brain,human
AIM2,B cells memory,Immune system,human
ALOX5,Tuft cells,GI tract,human
ALOX5,B cells memory,Immune system,human
BLK,B cells naive,Immune system,human
BLK,B cells memory,Immune system,human
CCR6,B cells memory,Immune system,human
CCR6,Langerhans cells,Skin,human
CD180,B cells memory,Immune system,human
CD180,B cells naive,Immune system,human
CD180,Macrophages,Immune system,human
CD180,Microglia,Brain,human
CD180,Dendritic cells,Immune system,human
CD1C,B cells memory,Immune system,human
CD1C,B cells naive,Immune system,human
CD1C,Dendritic cells,Immune system,human
CD37,B cells memory,Immune system,human
CD37,Plasma cells,Immune system,human
CD37,B cells naive,Immune system,human
CLCA3P,B cells memory,Immune system,human
CXCR5,B cells memory,Immune system,human
CXCR5,B cells naive,Immune system,human
CXCR5,Neurons,Brain,human
DENND5B,B cells memory,Immune system,human
DENND5B,Plasma cells,Immune system,human
FCGR2B,Plasma cells,Immune system,human
FCGR2B,B cells naive,Immune system,human
FCGR2B,Monocytes,Immune system,human
FCGR2B,Dendritic cells,Immune system,human
FCGR2B,B cells memory,Immune system,human
FCRL2,B cells naive,Immune system,human
FCRL2,B cells memory,Immune system,human
FCRL2,Plasma cells,Immune system,human
FRK,B cells memory,Immune system,human
FRK,B cells naive,Immune system,human
GNG7,B cells memory,Immune system,human
GNG7,Plasma cells,Immune system,human
GPR18,B cells memory,Immune system,human
GPR18,B cells naive,Immune system,human
GUSBP11,B cells naive,Immune system,human
GUSBP11,B cells memory,Immune system,human
GUSBP11,Plasma cells,Immune system,human
HHEX,Hematopoietic stem cells,Bone,human
HHEX,Hepatoblasts,Liver,human
HHEX,Delta cells,Pancreas,human
HHEX,Embryonic stem cells,Zygote,human
HHEX,B cells naive,Immune system,human
HHEX,B cells memory,Immune system,human
HHEX,Ductal cells,Pancreas,human
HLA-DOB,B cells memory,Immune system,human
HLA-DOB,B cells naive,Immune system,human
HLA-DOB,Plasma cells,Immune system,human
IFNA10,B cells memory,Immune system,human
IL7,B cells memory,Immune system,human
IRF8,Dendritic cells,Immune system,human
IRF8,Plasmacytoid dendritic cells,Immune system,human
IRF8,B cells memory,Immune system,human
IRF8,B cells naive,Immune system,human
LY86,B cells naive,Immune system,human
LY86,B cells memory,Immune system,human
MBL2,B cells memory,Immune system,human
NMBR,B cells memory,Immune system,human
NMBR,B cells naive,Immune system,human
NPIPB15,B cells memory,Immune system,human
PNOC,Plasma cells,Immune system,human
PNOC,B cells memory,Immune system,human
PNOC,B cells naive,Immune system,human
PNOC,Interneurons,Brain,human
PTPRCAP,B cells memory,Immune system,human
PTPRCAP,B cells naive,Immune system,human
RASGRP2,Platelets,Blood,human
RASGRP2,B cells naive,Immune system,human
RASGRP2,B cells memory,Immune system,human
SIK1,B cells memory,Immune system,human
SIK1,B cells naive,Immune system,human
SIK1,Plasma cells,Immune system,human
SIT1,B cells memory,Immune system,human
SLC12A1,B cells memory,Immune system,human
SLC12A1,Loop of Henle cells,Kidney,human
SLC12A1,B cells naive,Immune system,human
SP140,B cells memory,Immune system,human
STAP1,B cells memory,Immune system,human
STAP1,B cells naive,Immune system,human
TMEM156,Plasma cells,Immune system,human
TMEM156,B cells memory,Immune system,human
TRAF4,B cells memory,Immune system,human
ZBTB32,B cells memory,Immune system,human
IL2RA,Megakaryocytes,Immune system,human
IL2RA,Mast cells,Immune system,human
IL2RA,T regulatory cells,Immune system,human
IL2RA,Thymocytes,Thymus,human
ABCB4,B cells naive,Immune system,human
BCL7A,B cells naive,Immune system,human
BEND5,B cells naive,Immune system,human
BRAF,T cells,Immune system,human
BRAF,Myoblasts,Skeletal muscle,human
BRAF,B cells naive,Immune system,human
IL4R,Paneth cells,GI tract,mouse
IL4R,Tuft cells,GI tract,mouse
IL4R,T helper cells,Immune system,mouse
IL4R,B cells naive,Immune system,human
IL4R,Macrophages,Immune system,mouse
IL4R,Basophils,Immune system,human
MEP1A,B cells naive,Immune system,human
MEP1A,Enterocytes,GI tract,human
MICAL3,B cells naive,Immune system,human
P2RY14,B cells naive,Immune system,human
P2RY14,Pericytes,Vasculature,human
P2RY14,Intercalated cells,Kidney,human
PSG2,B cells naive,Immune system,human
SELL,Monocytes,Immune system,human
SELL,Neutrophils,Immune system,human
SELL,B cells naive,Immune system,human
TCL1A,B cells naive,Immune system,human
UGT1A8,B cells naive,Immune system,human
